id|meanings|keys
0|lower lobe of right lung|RIGHT_LUNG
1|posterior basal segment of lower lobe of right lung|RIGHT_LUNG
2|right upper lobe|RIGHT_LUNG
3|S5 segment of middle lobe of right lung|RIGHT_LUNG
4|anterior segment of upper lobe of right lung|RIGHT_LUNG
5|RLL|RIGHT_LUNG
6|middle lobe of lung|RIGHT_LUNG
7|middle lobe of right lung|RIGHT_LUNG
8|S4 segment of middle lobe of right lung|RIGHT_LUNG
9|posterior segment of upper lobe of right lung|RIGHT_LUNG
10|lateral basal segment of lower lobe of right lung|RIGHT_LUNG
11|lateral segment of middle lobe of right lung|RIGHT_LUNG
12|upper lobe of right lung|RIGHT_LUNG
13|S10 segment of lower lobe of right lung|RIGHT_LUNG
14|S8 segment of lower lobe of right lung|RIGHT_LUNG
15|right lower lung zone|RIGHT_LUNG
16|S7 segment of lower lobe of right lung|RIGHT_LUNG
17|medial segment of middle lobe of right lung|RIGHT_LUNG
18|S6 segment of lower lobe of right lung|RIGHT_LUNG
19|S2 segment of upper lobe of right lung|RIGHT_LUNG
20|S1 segment of upper lobe of right lung|RIGHT_LUNG
21|right middle lobe|RIGHT_LUNG
22|S9 segment of lower lobe of right lung|RIGHT_LUNG
23|axillary region of right lung|RIGHT_LUNG
24|S3 segment of upper lobe of right lung|RIGHT_LUNG
25|right lower lobe|RIGHT_LUNG
26|anterior basal segment of lower lobe of right lung|RIGHT_LUNG
27|RML|RIGHT_LUNG
28|apical segment of upper lobe of right lung|RIGHT_LUNG
29|medial basal segment of lower lobe of right lung|RIGHT_LUNG
30|right mid lung zone|RIGHT_LUNG
31|left upper lung zone|RIGHT_LUNG
32|RUL|RIGHT_LUNG
33|right upper lung zone|RIGHT_LUNG
34|superior segment of lower lobe of right lung|RIGHT_LUNG
