id|meanings|keys
0|POSTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
1|ANTEROMEDIAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
2|LATERAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
3|SUPERIOR_DIVISION_OF_UPPER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
4|LINGULA|LEFT_LUNG
5|SUPERIOR_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
6|APICAL_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
7|ANTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
8|LATERAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
9|MEDIAL_SEGMENT_OF_MIDDLE_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
10|LATERAL_SEGMENT_OF_MIDDLE_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
11|POSTERIOR_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
12|POSTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
13|ANTERIOR_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
14|SUPERIOR_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
15|MEDIAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
