id|meanings|keys
0|lesion|LESION
1|mass|MASS
2|chest mass|CHEST_MASS
3|pleural mass|CHEST_MASS
4|pulmonary mass|CHEST_MASS
5|mediastinal mass|CHEST_MASS
6|lung mass|LUNG_MASS
7|pleural mass|LUNG_MASS
8|nodule|NODULE
9|lung|LUNG
10|pulmonary|LUNG
11|lung nodule|LUNG_NODULE
12|pulmonary nodule|LUNG_NODULE
13|ca|CARCINOMA
14|cancer|CARCINOMA
15|carcinoma|CARCINOMA
16|lung cancer|LUNG_CARCINOMA
17|lung ca|LUNG_CARCINOMA
18|ca lung|LUNG_CARCINOMA
19|contrast enhanced scan|CONTRAST_ENHANCED_CT_SCAN
20|contrast enhanced ct scan|CONTRAST_ENHANCED_CT_SCAN
21|known case of|KNOWN_CASE_OF
22|k/c/o|KNOWN_CASE_OF
23|lung non small cell|LUNG_NON_SMALL_CELL
24|non small cell lung|LUNG_NON_SMALL_CELL
25|non-small cell lung|LUNG_NON_SMALL_CELL
26|nsclc|LUNG_NON_SMALL_CELL
27|lung small cell|LUNG_SMALL_CELL
28|small cell lung|LUNG_SMALL_CELL
29|sclc|LUNG_SMALL_CELL
30|lung adenocarcinoma|LUNG_CARCINOMA
31|adenocarcinoma of lung|LUNG_CARCINOMA
32|adenocarcinoma lung|LUNG_CARCINOMA
