id|meanings|keys
0|LEFT_UPPER_LUNG_ZONE|LEFT_LUNG
1|LOWER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
2|AXILLARY_REGION_OF_LEFT_LUNG|LEFT_LUNG
3|UPPER_LOBE_OF_LEFT_LUNG|LEFT_LUNG
4|LEFT_MID_LUNG_ZONE|LEFT_LUNG
5|LEFT_LOWER_LUNG_ZONE|LEFT_LUNG
6|POSTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LOWER_LOBE_OF_LEFT_LUNG
7|ANTEROMEDIAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LOWER_LOBE_OF_LEFT_LUNG
8|LATERAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LOWER_LOBE_OF_LEFT_LUNG
9|SUPERIOR_SEGMENT_OF_LOWER_LOBE_OF_LEFT_LUNG|LOWER_LOBE_OF_LEFT_LUNG
10|ANTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|LOWER_LOBE_OF_RIGHT_LUNG
11|LATERAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|LOWER_LOBE_OF_RIGHT_LUNG
12|POSTERIOR_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|LOWER_LOBE_OF_RIGHT_LUNG
13|SUPERIOR_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|LOWER_LOBE_OF_RIGHT_LUNG
14|MEDIAL_BASAL_SEGMENT_OF_LOWER_LOBE_OF_RIGHT_LUNG|LOWER_LOBE_OF_RIGHT_LUNG
15|MEDIAL_SEGMENT_OF_MIDDLE_LOBE_OF_RIGHT_LUNG|MIDDLE_LOBE_OF_LUNG
16|LATERAL_SEGMENT_OF_MIDDLE_LOBE_OF_RIGHT_LUNG|MIDDLE_LOBE_OF_LUNG
17|AXILLARY_REGION_OF_RIGHT_LUNG|RIGHT_LUNG
18|RIGHT_LOWER_LUNG_ZONE|RIGHT_LUNG
19|LEFT_UPPER_LUNG_ZONE|RIGHT_LUNG
20|UPPER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
21|RIGHT_MID_LUNG_ZONE|RIGHT_LUNG
22|RIGHT_UPPER_LUNG_ZONE|RIGHT_LUNG
23|MIDDLE_LOBE_OF_LUNG|RIGHT_LUNG
24|LOWER_LOBE_OF_RIGHT_LUNG|RIGHT_LUNG
25|SUPERIOR_DIVISION_OF_UPPER_LOBE_OF_LEFT_LUNG|UPPER_LOBE_OF_LEFT_LUNG
26|LINGULA|UPPER_LOBE_OF_LEFT_LUNG
27|POSTERIOR_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|UPPER_LOBE_OF_RIGHT_LUNG
28|ANTERIOR_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|UPPER_LOBE_OF_RIGHT_LUNG
29|APICAL_SEGMENT_OF_UPPER_LOBE_OF_RIGHT_LUNG|UPPER_LOBE_OF_RIGHT_LUNG
